ω	希腊字母	欧米伽	omega
ψ	希腊字母	普西	psi
χ	希腊字母	西	chi
φ	希腊字母	佛爱	phi
υ	希腊字母	宇普西龙	upsilon
τ	希腊字母	陶	tau
σ	希腊字母	西格马	sigma
ρ	希腊字母	肉	rho
π	希腊字母	派	pi
ο	希腊字母	奥密克戎	omicron
ξ	希腊字母	克西	xi
ν	希腊字母	纽	nu
μ	希腊字母	缪	mu
λ	希腊字母	兰布达	lambda
κ	希腊字母	卡帕	kappa
ι	希腊字母	约塔	iota
θ	希腊字母	西塔	theta
η	希腊字母	艾塔	eta
ζ	希腊字母	截塔	zeta
ε	希腊字母	伊普西龙	epsilon
δ	希腊字母	德尔塔	delta
γ	希腊字母	伽马	gamma
β	希腊字母	贝塔	beta
α	希腊字母	阿尔法	alpha
Ω	希腊字母	欧米伽	omega
Ψ	希腊字母	普西	psi
Χ	希腊字母	西	chi
Φ	希腊字母	佛爱	phi
Υ	希腊字母	宇普西龙	upsilon
Τ	希腊字母	陶	tau
Σ	希腊字母	西格马	sigma
Ρ	希腊字母	肉	rho
Π	希腊字母	派	pi
Ο	希腊字母	奥密克戎	omicron
Ξ	希腊字母	克西	xi
Ν	希腊字母	纽	nu
Μ	希腊字母	缪	mu
Λ	希腊字母	兰布达	lambda
Κ	希腊字母	卡帕	kappa
Ι	希腊字母	约塔	iota
Θ	希腊字母	西塔	theta
Η	希腊字母	艾塔	eta
Ζ	希腊字母	截塔	zeta
Ε	希腊字母	伊普西龙	epsilon
Δ	希腊字母	德尔塔	delta
Γ	希腊字母	伽马	gamma
Β	希腊字母	贝塔	beta
Α	希腊字母	阿尔法	alpha
