⋱	省略号	右下对角线省略号
⋰	省略号	右上对角线省略号
⋯	省略号	中线水平省略号
⋮	省略号	垂直省略号	竖省略号
⋭	不正规子群或等于
⋬	非正规子群或等于
⋫	不属于正规子群
⋪	不正规子群
⋩	后于但不等价于
⋨	先于但不等价于
⋧	大于但不等价于
⋦	小于但不等价于
⋥	方形原或不等于
⋤	方形像或不等于
⋣	不方形原或等于
⋢	非方形像或等于	不方形像或等于
⋡	不后于或等于
⋠	不先于或等于
⋟	等于或后于
⋞	等于或先于
⋝	等于或大于	等于大于
⋜	等于或小于	等于小于
⋛	大于等于或小于
⋚	小于等于或大于
⋙	非常大于	极大于
⋘	非常小于	极小于
⋗	带点大于	带点的大于
⋖	带点小于	带点的小于
⋕	等于并平行于	等于和平行于
⋔	干草叉
⋓	双并集
⋒	双交集
⋑	双超集
⋐	双子集
⋏	卷曲逻辑与	波形逻辑和
⋎	卷曲逻辑或	波形逻辑或
⋍	反转颚化符等于	横翻颚化符等号
⋌	右半直积
⋋	左半直积
⋊	右正态因子半直积	右正规因子半直积
⋉	左正态因子半直积	左正规因子半直积
⋈	领结	蝴蝶结
⋇	乘除
⋆	星形
⋅	点
⋄	菱形
⋃	并集
⋂	交集
⋁	逻辑或
⋀	逻辑与	逻辑和
⊿	直角三角形	右三角
⊾	带圆弧的直角	带有弧的右角
⊽	或非	no
⊼	与非	nand	
⊻	异或	xor
⊺	插层	插入
⊹	厄米特共轭矩阵
⊸	多重映射
⊷	像
⊶	原
⊵	包含为正规子群或等于	属于正规子群或等于
⊴	正规子群或等于
⊳	包含为正规子群	属于正规子群
⊲	正规子群
⊱	继承关系
⊰	先于关系
⊯	反向双竖条双右转门	非双竖条双右转门
⊮	不强制
⊭	不正确	不真
⊬	无法证明	不证明
⊫	双竖条双右转门
⊪	三竖条右转门
⊩	强制
⊨	真	true
⊧	型号
⊦	断言
⊥	上丁
⊤	下丁
⊣	左丁
⊢	右丁
⊡	平方点	带方框点
⊠	平方乘以	带方框乘
⊟	带方框负	带方框减	方框负	方框减
⊞	带方框加	带方框正	方框加	方框正
⊝	带圆圈短划	圆圈短划
⊜	带圆圈等于	圆圈等于
⊛	带圆圈星	圆圈星
⊚	带圆圈圆圈	圆圈圆圈	两个圆圈
⊙	带圆圈点	圆圈点
⊘	带圆圈除	圆圈除
⊗	带圆圈乘	圆圈乘
⊖	带圆圈负	带圆圈减	圆圈负	圆圈减
⊕	带圆圈加	带圆圈正	圆圈加	圆圈正
⊔	方形杯
⊓	方形帽
⊒	方形原或等于
⊑	方形像或等于
⊐	方形原
⊏	方形像
⊎	多重集并集
⊍	多重集乘积
